source_file,area,series_type,year,value_mw,peak_load_mw
ITP2610F2_B1BC_E016_R06_FT02Y10.LOD,LRZ07,ALOD,2035,114928399.0,21761.0
ITP2610F2_B1BC_E016_R06_FT02Y10.LOD,LRZ08,ALOD,2035,47945670.0,9343.0
ITP2610F2_B1BC_E016_R06_FT02Y10.LOD,LRZ09,ALOD,2035,168449003.0,27445.0
ITP2610F2_B1BC_E016_R06_FT02Y10.LOD,LRZ10,ALOD,2035,27177834.0,5069.0
ITP2610F2_B1BC_E016_R06_FT02Y10.LOD,MIDWALL,ALOD,2035,3406860.2,524.2
ITP2610F2_B1BC_E016_R06_FT02Y10.LOD,MISO-U,ALOD,2035,0.0,0.0
ITP2610F2_B1BC_E016_R06_FT02Y10.LOD,MRO,ALOD,2035,27287006.0,5322.0
ITP2610F2_B1BC_E016_R06_FT02Y10.LOD,NPPDALL,ALOD,2035,32598224.78,5459.0
ITP2610F2_B1BC_E016_R06_FT02Y10.LOD,OKGEALL,ALOD,2035,59901405.0,15298.0
ITP2610F2_B1BC_E016_R06_FT02Y10.LOD,OPPDALL,ALOD,2035,32325330.0,5559.0
ITP2610F2_B1BC_E016_R06_FT02Y10.LOD,OTHSPP,ALOD,2035,0.0,0.0
ITP2610F2_B1BC_E016_R06_FT02Y10.LOD,SK-CAN,ALOD,2035,28122778.0,4210.0
ITP2610F2_B1BC_E016_R06_FT02Y10.LOD,SPCIUT,ALOD,2035,3747885.0,836.7
ITP2610F2_B1BC_E016_R06_FT02Y10.LOD,SUNCALL,ALOD,2035,8909121.3,1504.0
ITP2610F2_B1BC_E016_R06_FT02Y10.LOD,SWPAALL,ALOD,2035,3626513.2,728.5
ITP2610F2_B1BC_E016_R06_FT02Y10.LOD,SWPSALL,ALOD,2035,86854050.0,21896.0
ITP2610F2_B1BC_E016_R06_FT02Y10.LOD,TVA,ALOD,2035,192065877.0,36429.0
ITP2610F2_B1BC_E016_R06_FT02Y10.LOD,UMZ,ALOD,2035,73330250.0,13869.0
ITP2610F2_B1BC_E016_R06_FT02Y10.LOD,WESTALL,ALOD,2035,63167313.0,9476.0
ITP2610F2_B1BC_E016_R06_FT02Y10.LOD,WFECALL,ALOD,2035,12687151.7,2257.0
